Company,Location,Date,Rocket,RocketStatus,Price,MissionStatus,Year
ESA,France,1980-05-20,Falcon 9,Retired,,Success,1980
Rocket Lab,New Zealand,1980-08-22,Pegasus XL,Active,,Success,1980
Virgin Orbit,USA,1980-04-16,PSLV,Active,,Success,1980
ESA,USA,1980-09-02,Atlas V,Retired,77.94,Success,1980
Northrop,USA,1980-03-13,Pegasus XL,Retired,,Failure,1980
Boeing,Russia,1980-11-07,Soyuz-U,Active,,Success,1980
RVSN USSR,Japan,1980-07-04,Falcon 9,Active,125.03,Success,1980
Arianespace,Russia,1980-01-28,Long March 3B,Active,,Success,1980
ESA,Kazakhstan,1980-09-16,Vulcan,Active,75.09,Success,1980
Boeing,Kazakhstan,1980-05-04,Falcon 9,Active,13.84,Success,1980
Arianespace,France,1980-09-18,Ariane 5,Active,104.58,Success,1980
NASA,China,1981-06-26,Ariane 5,Active,,Success,1981
CASC,USA,1981-01-05,Starship,Retired,,Success,1981
NASA,France,1981-10-07,Vulcan,Active,,Success,1981
Boeing,Kazakhstan,1981-05-18,Ariane 5,Active,,Success,1981
Arianespace,Japan,1981-10-10,Vulcan,Retired,,Success,1981
Boeing,USA,1981-04-04,Long March 3B,Active,,Success,1981
NASA,New Zealand,1981-09-15,Vulcan,Active,,Success,1981
ULA,Australia,1981-02-18,Vega,Retired,,Success,1981
ISRO,USA,1981-03-18,Starship,Retired,,Success,1981
Blue Origin,India,1981-10-16,Antares,Active,,Success,1981
ISRO,New Zealand,1981-01-28,Delta IV,Retired,,Success,1981
Arianespace,China,1981-06-05,PSLV,Retired,,Success,1981
Japan JAXA,New Zealand,1981-02-12,Vega,Active,,Success,1981
Rocket Lab,Kazakhstan,1981-04-25,Vega,Active,9.47,Success,1981
RVSN USSR,Japan,1981-02-22,Starship,Active,6.21,Success,1981
ISRO,Russia,1981-12-10,Soyuz-U,Retired,,Success,1981
ESA,New Zealand,1981-03-26,Soyuz-U,Retired,7.16,Success,1981
ISRO,Australia,1981-01-10,Long March 3B,Active,,Success,1981
Virgin Orbit,USA,1981-10-18,Ariane 5,Active,,Success,1981
CASC,France,1981-05-27,PSLV,Active,,Success,1981
Blue Origin,Russia,1981-09-19,Electron,Active,,Success,1981
Arianespace,Australia,1981-08-19,H-IIA,Active,,Success,1981
Roscosmos,Australia,1981-02-10,Vega,Retired,,Success,1981
Rocket Lab,Japan,1981-03-01,Starship,Active,,Success,1981
Japan JAXA,Japan,1981-05-10,Proton-M,Retired,125.82,Success,1981
Virgin Orbit,China,1981-12-01,Long March 3B,Active,,Success,1981
Northrop,Japan,1981-07-01,Falcon 9,Active,,Success,1981
Boeing,USA,1981-02-06,Falcon 9,Active,,Success,1981
Boeing,Australia,1981-10-17,Soyuz-U,Active,,Success,1981
Roscosmos,India,1981-12-03,Vulcan,Active,,Success,1981
Blue Origin,India,1981-02-25,Atlas V,Active,,Success,1981
Rocket Lab,China,1981-02-19,H-IIA,Active,37.03,Success,1981
Boeing,Russia,1981-01-19,Atlas V,Active,,Success,1981
RVSN USSR,Russia,1981-11-25,Proton-M,Retired,,Success,1981
Blue Origin,France,1981-02-12,Long March 3B,Retired,13.6,Success,1981
Rocket Lab,New Zealand,1981-08-03,Soyuz-U,Active,,Success,1981
ULA,France,1981-06-15,Electron,Active,,Success,1981
Virgin Orbit,New Zealand,1981-08-23,Electron,Retired,15.38,Success,1981
NASA,India,1981-09-16,Pegasus XL,Active,196.08,Success,1981
SpaceX,China,1981-07-21,Atlas V,Active,,Failure,1981
ISRO,USA,1981-12-04,Long March 3B,Retired,,Success,1981
Virgin Orbit,USA,1981-12-02,Pegasus XL,Active,,Success,1981
ESA,India,1981-11-05,Proton-M,Retired,,Success,1981
RVSN USSR,USA,1981-05-19,Soyuz-U,Active,,Failure,1981
Virgin Orbit,Japan,1981-07-05,H-IIA,Active,,Success,1981
CASC,China,1981-06-20,Ariane 5,Retired,,Success,1981
NASA,New Zealand,1981-09-03,Soyuz-U,Active,,Success,1981
SpaceX,USA,1981-03-12,Atlas V,Active,22.14,Success,1981
Blue Origin,China,1981-06-03,Soyuz-U,Retired,68.98,Success,1981
Virgin Orbit,China,1981-06-01,Ariane 5,Retired,,Success,1981
ESA,Australia,1981-07-25,Soyuz-U,Active,205.35,Success,1981
Blue Origin,Australia,1981-07-18,Pegasus XL,Active,40.14,Success,1981
Rocket Lab,Russia,1981-09-10,Pegasus XL,Retired,,Success,1981
ESA,Russia,1981-05-28,Falcon 9,Active,,Success,1981
Roscosmos,Kazakhstan,1981-01-01,Vega,Active,,Success,1981
ISRO,China,1981-10-14,Falcon 9,Active,,Success,1981
Rocket Lab,France,1981-02-23,Vulcan,Active,,Success,1981
Blue Origin,USA,1981-06-17,Proton-M,Retired,,Success,1981
RVSN USSR,India,1981-10-10,Atlas V,Retired,,Success,1981
ESA,China,1981-07-16,Electron,Active,5.64,Failure,1981
RVSN USSR,Australia,1981-02-11,Vulcan,Active,,Success,1981
Arianespace,USA,1981-09-02,H-IIA,Retired,,Success,1981
ISRO,China,1981-07-01,Antares,Active,,Success,1981
Roscosmos,USA,1981-10-25,Long March 3B,Active,,Success,1981
Blue Origin,India,1981-10-17,Proton-M,Active,,Success,1981
Blue Origin,Australia,1981-06-27,Ariane 5,Active,,Success,1981
ISRO,France,1981-12-03,Soyuz-U,Active,,Success,1981
ESA,France,1981-12-03,Delta IV,Retired,34.37,Failure,1981
Northrop,USA,1981-12-15,Proton-M,Retired,,Partial Failure,1981
Japan JAXA,China,1981-10-12,Long March 3B,Active,,Success,1981
NASA,France,1981-07-27,Pegasus XL,Retired,,Success,1981
RVSN USSR,Australia,1982-06-10,Soyuz-U,Active,35.95,Success,1982
RVSN USSR,New Zealand,1982-03-21,Atlas V,Retired,,Success,1982
Roscosmos,Australia,1982-10-11,Starship,Active,71.15,Success,1982
Japan JAXA,Kazakhstan,1982-02-23,Delta IV,Active,,Success,1982
Rocket Lab,China,1982-09-19,Ariane 5,Retired,,Failure,1982
RVSN USSR,China,1982-11-02,Long March 3B,Active,28.76,Success,1982
ULA,India,1982-02-02,Vulcan,Active,65.44,Success,1982
Japan JAXA,Japan,1982-03-24,Antares,Retired,110.05,Success,1982
ULA,Russia,1982-11-22,PSLV,Active,,Success,1982
ULA,Australia,1982-11-28,Falcon 9,Active,114.05,Success,1982
ESA,Japan,1982-10-03,Proton-M,Active,,Success,1982
Arianespace,Russia,1982-08-04,Vulcan,Retired,15.22,Success,1982
Northrop,France,1982-08-07,Long March 3B,Active,,Partial Failure,1982
Japan JAXA,New Zealand,1982-12-07,Long March 3B,Active,,Partial Failure,1982
Blue Origin,Japan,1982-04-10,Starship,Active,53.96,Success,1982
NASA,New Zealand,1982-10-26,Proton-M,Retired,,Success,1982
Arianespace,Kazakhstan,1982-07-07,Starship,Retired,,Success,1982
Blue Origin,Russia,1982-03-18,Vega,Active,,Success,1982
ISRO,New Zealand,1982-07-15,Ariane 5,Active,,Success,1982
Northrop,Australia,1982-12-21,Vega,Retired,,Success,1982
Northrop,USA,1982-05-09,Vega,Active,,Success,1982
NASA,Russia,1982-02-09,Starship,Active,177.54,Success,1982
Japan JAXA,Russia,1982-07-08,Antares,Retired,,Partial Failure,1982
CASC,India,1982-08-13,Starship,Active,10.17,Partial Failure,1982
RVSN USSR,USA,1982-10-02,Electron,Active,60.42,Success,1982
ISRO,Australia,1982-06-20,Proton-M,Retired,,Success,1982
NASA,New Zealand,1982-02-14,Atlas V,Active,,Success,1982
ULA,Australia,1982-08-22,Proton-M,Active,17.55,Success,1982
CASC,Australia,1982-01-01,Soyuz-U,Retired,,Partial Failure,1982
Japan JAXA,France,1982-12-17,Delta IV,Retired,,Success,1982
Rocket Lab,China,1982-01-20,Vega,Retired,68.79,Success,1982
ISRO,Australia,1982-10-25,Vega,Retired,,Success,1982
SpaceX,USA,1982-07-21,H-IIA,Retired,,Success,1982
Boeing,Japan,1982-12-24,PSLV,Active,,Success,1982
RVSN USSR,France,1982-07-22,Pegasus XL,Retired,,Failure,1982
Rocket Lab,Australia,1982-07-12,Falcon 9,Retired,,Success,1982
Roscosmos,Japan,1982-09-02,Proton-M,Retired,,Success,1982
Rocket Lab,Japan,1982-01-02,Proton-M,Retired,,Success,1982
Rocket Lab,Russia,1982-08-15,Starship,Active,,Success,1982
SpaceX,France,1982-11-25,Vega,Retired,963.46,Success,1982
Rocket Lab,Japan,1982-12-11,Long March 3B,Active,,Success,1982
ISRO,Kazakhstan,1982-03-13,Atlas V,Retired,,Success,1982
Roscosmos,China,1982-11-01,Proton-M,Active,,Failure,1982
Blue Origin,USA,1982-07-28,Vega,Active,,Success,1982
Boeing,USA,1982-03-24,Electron,Active,,Failure,1982
ESA,Australia,1982-04-26,Delta IV,Active,,Success,1982
Japan JAXA,Japan,1982-12-25,Falcon 9,Retired,,Success,1982
Roscosmos,Russia,1982-11-20,Pegasus XL,Active,,Partial Failure,1982
RVSN USSR,Russia,1982-08-25,Delta IV,Retired,,Success,1982
Blue Origin,France,1982-12-21,Delta IV,Active,,Success,1982
Virgin Orbit,India,1982-10-27,Electron,Active,,Success,1982
Rocket Lab,India,1982-04-19,Vulcan,Retired,,Success,1982
Blue Origin,Japan,1982-08-01,Long March 3B,Active,,Success,1982
Japan JAXA,India,1982-08-07,Starship,Retired,54.54,Success,1982
ULA,New Zealand,1982-01-12,Antares,Active,,Success,1982
Virgin Orbit,USA,1982-02-13,Electron,Retired,,Success,1982
Virgin Orbit,USA,1982-11-06,Ariane 5,Retired,29.2,Success,1982
ULA,New Zealand,1982-01-08,Vulcan,Active,,Success,1982
ESA,India,1982-02-21,Starship,Active,,Success,1982
RVSN USSR,Kazakhstan,1982-02-20,Pegasus XL,Active,,Success,1982
Northrop,Japan,1982-07-01,Falcon 9,Active,,Success,1982
SpaceX,France,1982-07-10,Long March 3B,Active,,Success,1982
SpaceX,Japan,1982-07-19,Falcon 9,Active,65.33,Success,1982
Boeing,China,1982-02-07,Proton-M,Retired,,Failure,1982
Northrop,Russia,1982-07-04,Proton-M,Active,61.4,Success,1982
Northrop,Russia,1982-05-02,Antares,Active,32.79,Success,1982
ISRO,Australia,1982-07-19,Delta IV,Active,194.34,Success,1982
ULA,Japan,1982-09-01,Soyuz-U,Retired,52.09,Success,1982
Japan JAXA,USA,1982-11-01,Atlas V,Active,,Success,1982
SpaceX,China,1982-09-14,Ariane 5,Active,,Success,1982
Japan JAXA,USA,1982-05-17,Proton-M,Active,,Failure,1982
ULA,New Zealand,1982-06-20,Soyuz-U,Active,6.65,Failure,1982
CASC,India,1982-04-01,Long March 3B,Active,,Failure,1982
Blue Origin,Australia,1982-08-20,Ariane 5,Active,,Success,1982
Rocket Lab,Australia,1982-02-15,PSLV,Retired,,Success,1982
Virgin Orbit,Russia,1983-05-26,Delta IV,Retired,,Success,1983
Rocket Lab,New Zealand,1983-01-03,Vulcan,Retired,,Success,1983
Japan JAXA,USA,1983-04-11,PSLV,Retired,,Success,1983
ISRO,New Zealand,1983-11-23,Soyuz-U,Retired,130.22,Success,1983
Roscosmos,New Zealand,1983-02-22,Antares,Active,,Success,1983
ISRO,Australia,1983-08-16,H-IIA,Retired,58.76,Success,1983
ULA,India,1983-04-26,Delta IV,Retired,,Partial Failure,1983
Virgin Orbit,India,1983-07-11,Electron,Active,,Success,1983
Arianespace,France,1983-10-24,Pegasus XL,Active,,Success,1983
ESA,New Zealand,1983-06-15,Pegasus XL,Active,,Success,1983
RVSN USSR,India,1983-04-28,Atlas V,Retired,,Success,1983
Boeing,India,1983-02-18,Pegasus XL,Active,,Success,1983
Arianespace,New Zealand,1983-10-07,PSLV,Retired,,Success,1983
ULA,China,1983-03-02,Electron,Active,,Success,1983
CASC,France,1983-12-22,Antares,Active,,Failure,1983
Arianespace,Russia,1983-04-05,Falcon 9,Retired,,Success,1983
Northrop,Australia,1983-08-13,Starship,Active,,Failure,1983
ESA,India,1983-01-17,Vega,Retired,,Success,1983
Northrop,Kazakhstan,1983-10-22,Atlas V,Active,,Success,1983
Roscosmos,Kazakhstan,1983-12-15,Ariane 5,Active,,Success,1983
Boeing,Kazakhstan,1983-08-07,Falcon 9,Active,,Success,1983
Roscosmos,France,1983-01-01,Electron,Active,,Success,1983
ISRO,France,1983-06-18,Long March 3B,Retired,53.06,Success,1983
Virgin Orbit,Japan,1983-07-16,H-IIA,Retired,,Success,1983
CASC,USA,1983-01-26,Atlas V,Retired,,Success,1983
ULA,Australia,1983-04-28,Antares,Retired,,Success,1983
NASA,New Zealand,1983-09-13,Vega,Active,,Success,1983
NASA,Australia,1983-09-28,Soyuz-U,Active,,Success,1983
RVSN USSR,New Zealand,1983-09-28,Proton-M,Retired,,Success,1983
Japan JAXA,Kazakhstan,1983-07-07,H-IIA,Active,,Success,1983
ESA,Japan,1983-07-02,Starship,Retired,,Success,1983
Japan JAXA,New Zealand,1983-06-05,Starship,Retired,4.24,Success,1983
Japan JAXA,Russia,1983-04-04,H-IIA,Retired,,Success,1983
CASC,Australia,1983-04-16,Vega,Active,,Success,1983
ULA,Kazakhstan,1983-10-10,PSLV,Active,,Success,1983
Roscosmos,Russia,1983-04-28,Falcon 9,Active,,Success,1983
Rocket Lab,France,1983-01-02,Vega,Active,,Failure,1983
Roscosmos,India,1983-01-28,Ariane 5,Retired,,Success,1983
Japan JAXA,Japan,1983-03-27,Antares,Retired,41.13,Success,1983
Japan JAXA,USA,1983-11-18,Pegasus XL,Active,,Success,1983
CASC,India,1983-09-02,Vulcan,Active,,Failure,1983
CASC,USA,1983-03-09,Ariane 5,Active,,Partial Failure,1983
ULA,Japan,1983-06-06,Starship,Active,,Success,1983
NASA,Russia,1983-12-01,Vulcan,Active,36.85,Success,1983
CASC,Australia,1983-08-10,Soyuz-U,Active,,Success,1983
Blue Origin,China,1983-05-11,Soyuz-U,Active,,Success,1983
Arianespace,France,1983-02-26,Long March 3B,Active,,Success,1983
Blue Origin,New Zealand,1983-06-14,Vulcan,Active,,Success,1983
Arianespace,Japan,1983-09-08,Falcon 9,Active,202.46,Success,1983
Northrop,Japan,1983-10-10,Vega,Active,,Success,1983
ISRO,France,1983-02-16,Proton-M,Active,,Success,1983
ISRO,Kazakhstan,1983-06-02,H-IIA,Active,,Success,1983
ESA,New Zealand,1983-12-05,Soyuz-U,Active,,Partial Failure,1983
ISRO,USA,1983-10-15,H-IIA,Active,,Success,1983
Northrop,India,1983-02-11,Starship,Active,9.28,Success,1983
Rocket Lab,New Zealand,1983-02-17,Atlas V,Active,,Success,1983
ULA,Australia,1983-03-08,Vega,Retired,,Success,1983
Virgin Orbit,Australia,1983-06-17,Pegasus XL,Retired,,Success,1983
Arianespace,USA,1983-12-05,Vulcan,Retired,,Success,1983
Northrop,France,1983-04-08,Atlas V,Active,,Success,1983
Arianespace,Australia,1983-11-21,Delta IV,Retired,,Success,1983
Arianespace,France,1983-10-06,Starship,Active,422.21,Success,1983
Boeing,Japan,1983-01-13,Starship,Active,14.44,Success,1983
Rocket Lab,China,1983-09-01,Soyuz-U,Retired,,Success,1983
Blue Origin,France,1983-11-15,Pegasus XL,Active,,Partial Failure,1983
NASA,USA,1983-04-16,Electron,Active,,Success,1983
Blue Origin,China,1983-03-22,Falcon 9,Retired,,Success,1983
SpaceX,Russia,1983-01-13,Pegasus XL,Active,,Failure,1983
Blue Origin,Japan,1983-11-25,Pegasus XL,Retired,232.66,Success,1983
Arianespace,India,1983-04-01,PSLV,Retired,3.69,Success,1983
ESA,New Zealand,1983-05-23,Vulcan,Retired,,Success,1983
ESA,India,1984-03-06,Antares,Active,,Success,1984
ULA,France,1984-07-15,Soyuz-U,Retired,,Success,1984
SpaceX,New Zealand,1984-09-24,Electron,Active,,Success,1984
Rocket Lab,Kazakhstan,1984-07-26,Pegasus XL,Active,134.84,Success,1984
NASA,Japan,1984-12-27,Proton-M,Active,,Success,1984
RVSN USSR,France,1984-03-09,Falcon 9,Retired,,Success,1984
Rocket Lab,Australia,1984-04-01,Proton-M,Active,,Success,1984
ESA,France,1984-09-13,Atlas V,Retired,,Success,1984
Virgin Orbit,Russia,1984-05-25,Vulcan,Retired,,Success,1984
Northrop,New Zealand,1984-03-20,Vulcan,Retired,26.12,Success,1984
SpaceX,USA,1984-05-09,Falcon 9,Active,,Success,1984
RVSN USSR,Kazakhstan,1984-01-26,Proton-M,Retired,25.81,Success,1984
Boeing,New Zealand,1984-08-15,Pegasus XL,Active,,Failure,1984
Roscosmos,Kazakhstan,1984-03-23,PSLV,Active,133.8,Success,1984
SpaceX,Australia,1984-05-10,Starship,Retired,,Success,1984
Rocket Lab,USA,1984-10-17,Ariane 5,Retired,,Success,1984
Roscosmos,Japan,1984-12-19,Ariane 5,Active,,Success,1984
ESA,Australia,1984-09-27,Electron,Retired,,Success,1984
Virgin Orbit,New Zealand,1984-02-15,Ariane 5,Retired,210.59,Success,1984
ULA,Japan,1984-12-23,Falcon 9,Retired,6.74,Success,1984
Boeing,India,1984-09-10,Ariane 5,Active,,Success,1984
Boeing,Japan,1984-02-11,Starship,Active,,Success,1984
Japan JAXA,China,1984-09-07,Ariane 5,Retired,,Success,1984
Boeing,Japan,1984-08-19,Pegasus XL,Active,,Success,1984
Boeing,USA,1984-08-06,Delta IV,Retired,80.08,Success,1984
Blue Origin,Japan,1984-09-13,Proton-M,Retired,,Success,1984
ISRO,Japan,1984-01-21,H-IIA,Active,,Success,1984
Japan JAXA,France,1984-06-13,Soyuz-U,Active,,Partial Failure,1984
CASC,USA,1984-05-22,Ariane 5,Retired,,Success,1984
NASA,Kazakhstan,1984-05-20,Electron,Active,,Success,1984
NASA,India,1984-03-09,Vega,Retired,,Success,1984
Northrop,China,1984-10-24,PSLV,Retired,,Success,1984
Rocket Lab,Kazakhstan,1984-08-26,Atlas V,Retired,,Success,1984
Rocket Lab,Australia,1984-12-13,Soyuz-U,Active,,Partial Failure,1984
Rocket Lab,France,1984-02-25,Vega,Retired,,Success,1984
ISRO,USA,1984-09-18,Delta IV,Retired,,Success,1984
ULA,USA,1984-03-15,Antares,Retired,69.05,Success,1984
ESA,India,1984-07-10,Soyuz-U,Active,,Success,1984
ULA,USA,1984-07-19,H-IIA,Active,,Success,1984
Japan JAXA,France,1984-06-09,Vega,Retired,59.27,Failure,1984
Arianespace,China,1984-09-15,H-IIA,Retired,,Success,1984
Blue Origin,India,1984-04-17,Starship,Retired,,Success,1984
Blue Origin,Australia,1984-07-28,Soyuz-U,Retired,6.71,Success,1984
Boeing,New Zealand,1984-03-22,Electron,Active,,Success,1984
Roscosmos,New Zealand,1984-07-04,Pegasus XL,Active,,Success,1984
NASA,Australia,1984-10-01,Electron,Retired,,Success,1984
ESA,France,1984-11-10,Antares,Active,,Success,1984
Northrop,USA,1984-09-11,Ariane 5,Retired,,Success,1984
Northrop,India,1984-06-05,Falcon 9,Retired,,Success,1984
Japan JAXA,Russia,1984-10-04,Ariane 5,Active,,Success,1984
NASA,Japan,1984-05-28,Vega,Retired,,Success,1984
Rocket Lab,USA,1984-09-17,Falcon 9,Active,260.87,Success,1984
ESA,USA,1984-08-06,Pegasus XL,Retired,,Success,1984
ISRO,USA,1984-03-17,H-IIA,Active,,Success,1984
RVSN USSR,Russia,1984-04-17,Soyuz-U,Active,,Success,1984
SpaceX,France,1984-04-17,Soyuz-U,Active,,Success,1984
NASA,China,1984-11-23,Vulcan,Active,,Success,1984
Arianespace,India,1984-01-24,PSLV,Retired,,Success,1984
ESA,New Zealand,1984-12-15,Delta IV,Active,,Success,1984
Blue Origin,Kazakhstan,1984-11-12,Electron,Retired,,Failure,1984
Blue Origin,New Zealand,1984-05-10,Electron,Active,62.33,Partial Failure,1984
Roscosmos,France,1984-04-04,Electron,Retired,,Success,1984
ULA,India,1984-09-06,Proton-M,Retired,,Success,1984
ULA,China,1984-03-04,Electron,Active,,Success,1984
CASC,New Zealand,1984-06-23,Ariane 5,Retired,,Success,1984
Boeing,Australia,1984-05-02,Starship,Active,,Success,1984
SpaceX,Australia,1984-11-16,Delta IV,Retired,,Success,1984
Northrop,Russia,1984-09-17,Vega,Active,,Success,1984
Roscosmos,Australia,1984-09-19,Atlas V,Active,,Success,1984
Rocket Lab,India,1984-02-18,PSLV,Retired,,Failure,1984
NASA,USA,1984-07-16,Vulcan,Active,,Success,1984
Blue Origin,China,1984-12-23,Electron,Active,166.74,Success,1984
ULA,India,1984-03-26,Vulcan,Retired,,Success,1984
ESA,Japan,1984-07-13,H-IIA,Active,,Success,1984
SpaceX,China,1985-04-03,Atlas V,Active,,Success,1985
Rocket Lab,USA,1985-05-04,Starship,Active,,Success,1985
Boeing,China,1985-01-12,Ariane 5,Active,,Success,1985
RVSN USSR,Australia,1985-05-26,Proton-M,Active,,Success,1985
Japan JAXA,USA,1985-09-01,Atlas V,Active,,Success,1985
Arianespace,France,1985-03-23,Falcon 9,Retired,,Success,1985
CASC,New Zealand,1985-05-26,Proton-M,Active,,Success,1985
ISRO,Kazakhstan,1985-07-28,Delta IV,Active,,Failure,1985
RVSN USSR,USA,1985-06-14,Ariane 5,Active,,Success,1985
SpaceX,New Zealand,1985-06-17,Electron,Active,,Success,1985
Virgin Orbit,Japan,1985-05-06,Atlas V,Active,,Success,1985
Japan JAXA,New Zealand,1985-08-10,Vulcan,Retired,,Partial Failure,1985
ISRO,Kazakhstan,1985-03-23,Electron,Active,,Success,1985
Rocket Lab,USA,1985-12-07,Soyuz-U,Retired,,Partial Failure,1985
ESA,India,1985-02-24,Antares,Active,,Success,1985
CASC,Japan,1985-04-04,Falcon 9,Retired,,Success,1985
NASA,China,1985-10-01,Falcon 9,Active,,Success,1985
Arianespace,Japan,1985-04-16,Delta IV,Active,,Failure,1985
CASC,Japan,1985-04-10,PSLV,Retired,,Failure,1985
Virgin Orbit,USA,1985-10-09,Vega,Active,,Success,1985
Boeing,Kazakhstan,1985-02-24,PSLV,Active,,Success,1985
ISRO,Russia,1985-06-11,Proton-M,Active,,Success,1985
SpaceX,China,1985-09-25,Proton-M,Retired,,Success,1985
ISRO,USA,1985-10-06,Soyuz-U,Active,,Success,1985
SpaceX,New Zealand,1985-07-19,Delta IV,Retired,,Success,1985
NASA,Australia,1985-05-13,Ariane 5,Active,,Success,1985
ISRO,USA,1985-10-24,Electron,Active,,Success,1985
Blue Origin,Kazakhstan,1985-07-12,Long March 3B,Retired,,Partial Failure,1985
Northrop,Australia,1985-06-02,PSLV,Active,,Success,1985
RVSN USSR,France,1985-04-27,Ariane 5,Active,,Success,1985
Virgin Orbit,France,1985-09-09,Falcon 9,Active,,Success,1985
Northrop,USA,1985-11-01,Starship,Active,9.39,Success,1985
SpaceX,India,1985-02-17,H-IIA,Active,,Success,1985
NASA,USA,1985-10-25,Atlas V,Retired,,Success,1985
Boeing,China,1985-02-25,Proton-M,Retired,153.89,Success,1985
Roscosmos,India,1985-09-06,H-IIA,Retired,,Success,1985
ULA,France,1985-11-25,Antares,Retired,,Success,1985
Rocket Lab,Australia,1985-03-01,PSLV,Active,67.07,Success,1985
ISRO,India,1985-02-07,Soyuz-U,Active,,Success,1985
Northrop,France,1985-03-05,Antares,Active,,Success,1985
Blue Origin,Kazakhstan,1985-09-02,Proton-M,Retired,51.82,Failure,1985
Roscosmos,China,1985-04-17,Antares,Retired,,Failure,1985
ISRO,France,1985-06-11,Soyuz-U,Active,33.19,Partial Failure,1985
Rocket Lab,Australia,1985-09-27,Electron,Retired,80.77,Success,1985
Blue Origin,Japan,1985-09-06,Proton-M,Retired,,Failure,1985
ISRO,Kazakhstan,1985-08-11,Long March 3B,Active,,Success,1985
NASA,Australia,1985-05-13,Ariane 5,Active,,Success,1985
SpaceX,Japan,1985-03-15,PSLV,Retired,,Success,1985
ESA,Kazakhstan,1985-01-28,Antares,Retired,,Success,1985
ULA,Australia,1985-03-03,Falcon 9,Retired,,Success,1985
Arianespace,USA,1985-04-13,H-IIA,Retired,,Failure,1985
SpaceX,China,1985-08-04,Long March 3B,Retired,,Success,1985
Roscosmos,France,1985-03-09,Atlas V,Active,,Success,1985
CASC,Japan,1985-05-23,Starship,Active,,Success,1985
Northrop,India,1985-02-28,Vega,Retired,,Success,1985
RVSN USSR,USA,1985-02-08,PSLV,Active,,Success,1985
ULA,Japan,1985-12-08,Electron,Active,,Success,1985
ULA,France,1985-06-21,Electron,Active,,Success,1985
CASC,Kazakhstan,1985-12-05,Starship,Active,27.39,Success,1985
ESA,Australia,1985-09-20,Atlas V,Active,,Success,1985
Virgin Orbit,Russia,1985-12-06,Vega,Active,21.88,Success,1985
Boeing,India,1986-04-16,H-IIA,Active,,Success,1986
Japan JAXA,Australia,1986-07-17,Antares,Active,,Success,1986
NASA,India,1986-06-22,Proton-M,Active,,Success,1986
SpaceX,China,1986-07-14,Vega,Retired,,Success,1986
RVSN USSR,Russia,1986-12-15,Delta IV,Retired,,Success,1986
ESA,Japan,1986-05-01,Vulcan,Retired,,Success,1986
Northrop,Kazakhstan,1986-03-27,Antares,Active,,Success,1986
Arianespace,New Zealand,1986-09-12,Atlas V,Retired,,Success,1986
Roscosmos,USA,1986-12-05,Pegasus XL,Retired,,Success,1986
CASC,Russia,1986-07-17,Starship,Retired,,Success,1986
RVSN USSR,Russia,1986-11-28,Falcon 9,Active,,Failure,1986
NASA,USA,1986-01-02,Proton-M,Retired,,Success,1986
Roscosmos,Japan,1986-03-11,Vega,Retired,,Success,1986
Rocket Lab,New Zealand,1986-02-04,Ariane 5,Active,86.71,Success,1986
ULA,India,1986-05-22,Long March 3B,Active,,Success,1986
Blue Origin,USA,1986-03-11,Vulcan,Retired,,Success,1986
NASA,Australia,1986-02-07,Pegasus XL,Active,,Success,1986
Rocket Lab,France,1986-12-08,H-IIA,Active,,Failure,1986
RVSN USSR,China,1986-11-11,Soyuz-U,Retired,,Success,1986
Roscosmos,Australia,1986-12-10,Starship,Active,,Success,1986
NASA,Russia,1986-11-07,Ariane 5,Active,,Success,1986
ISRO,Australia,1986-02-16,Atlas V,Retired,,Success,1986
Arianespace,India,1986-10-17,Ariane 5,Active,,Success,1986
ESA,Kazakhstan,1986-01-09,Pegasus XL,Active,7.95,Success,1986
Northrop,Japan,1986-06-09,Atlas V,Active,,Success,1986
Virgin Orbit,China,1986-07-23,Ariane 5,Retired,17.95,Success,1986
Rocket Lab,USA,1986-07-23,Atlas V,Retired,,Failure,1986
Virgin Orbit,Australia,1986-07-01,Delta IV,Retired,,Success,1986
SpaceX,New Zealand,1986-04-06,Antares,Retired,,Success,1986
SpaceX,Japan,1986-03-01,Starship,Active,13.83,Failure,1986
NASA,China,1986-04-05,Pegasus XL,Retired,14.03,Success,1986
Roscosmos,Australia,1986-06-15,Pegasus XL,Active,1293.95,Success,1986
ESA,Japan,1986-01-24,Vega,Active,78.43,Success,1986
Virgin Orbit,Japan,1986-07-26,Atlas V,Active,,Success,1986
Japan JAXA,Australia,1986-12-07,Delta IV,Retired,,Success,1986
Blue Origin,Japan,1986-05-23,Ariane 5,Active,963.24,Failure,1986
Rocket Lab,Kazakhstan,1986-05-03,Vega,Retired,21.74,Success,1986
Northrop,Japan,1986-10-13,Antares,Retired,,Success,1986
Japan JAXA,India,1986-11-08,Pegasus XL,Retired,,Success,1986
Arianespace,Kazakhstan,1986-09-22,Antares,Active,,Success,1986
CASC,Russia,1986-03-04,Soyuz-U,Retired,,Success,1986
Roscosmos,New Zealand,1986-10-11,Soyuz-U,Active,,Success,1986
Rocket Lab,USA,1986-04-17,Vega,Active,33.42,Success,1986
Rocket Lab,France,1986-06-10,Atlas V,Retired,,Success,1986
Virgin Orbit,China,1986-04-10,Vega,Active,,Success,1986
Rocket Lab,New Zealand,1986-08-07,Ariane 5,Active,,Success,1986
ULA,Russia,1986-03-18,Atlas V,Retired,,Failure,1986
